Model,MAE,Log_Likelihood,W1_Distance,KL_Divergence
GAN,1.1327037760377838,-5.4113042008436905,0.09356912321513726,0.756749106267236
VAE,0.5105171220455172,-7.23944667022668,0.06761755328637166,0.44903162237931593
Hybrid,0.7174793725396192,-5.262124557405915,0.18506485296560815,0.5389175661517274
