tsne_1,tsne_2,temp_zscore
-47.248177,-1.6663744,-1.0108874
6.262344,-5.0260873,-1.0108874
14.349487,-17.789114,1.2352918
24.845255,-14.860767,-0.54293334
0.2186184,15.959816,-0.54293334
-14.983932,12.442446,0.39297464
-30.018688,-10.225474,-2.4709039
8.379266,-13.686618,-1.0108874
-21.950739,-1.9479928,0.29938385
6.0550227,-0.14290984,0.11220226
5.24715,8.334202,-0.54293334
4.8144226,6.2696037,1.0481102
18.613512,-17.382748,1.4224734
38.71178,16.74963,2.3583815
6.626181,-2.889083,-0.973451
-22.530258,-3.4856777,1.2352918
-50.23167,1.0972979,-1.0108874
-4.4644256,16.986107,0.67374706
-38.412235,-8.981395,-1.5724322
-41.19092,-7.7222185,0.11220226
5.2224994,3.4230142,-0.9172965
4.4856663,4.789615,-1.0108874
-48.32116,-0.6192105,-2.4709039
34.103947,-0.42411202,0.29938385
-50.979836,1.4293512,-0.54293334
7.6658506,-12.049094,0.67374706
-48.01588,-1.0889236,-1.0108874
6.159808,5.9285417,-0.59908783
4.141871,10.702601,-0.54293334
20.957245,-17.358032,-1.4788413
-41.176876,-7.724617,0.48656544
32.017635,-5.73572,0.11220226
29.23444,-9.676319,0.48656544
34.689236,1.2774673,-0.07497935
-47.58577,-1.7014787,-1.0108874
36.974075,8.410297,1.2352918
36.355263,7.1071925,-1.0108874
-23.527132,-5.083913,0.86092865
5.8339696,6.9236517,-0.54293334
-44.713367,-5.0528216,-1.0108874
-42.919495,-6.1090055,0.39297464
5.0247955,4.0042114,-0.96409196
4.5034513,0.314649,-0.54293334
-20.769878,1.0169872,0.86092865
-29.506763,-9.944475,0.86092865
35.805088,4.142576,1.2352918
5.0276494,9.253542,-0.54293334
-23.2496,-4.584315,0.86092865
33.01039,-3.5333793,-0.54293334
26.917562,-12.618809,1.0481102
-3.8914814,15.901384,-1.0108874
-43.088753,-6.218303,-0.63652414
-43.242847,-6.4327946,-1.0108874
4.563253,13.54642,0.86092865
7.4234915,-10.858385,-1.0108874
4.600761,-4.7052755,-0.54293334
37.90783,12.410867,-0.26216096
38.228657,16.935614,1.5160643
5.850894,0.60383683,0.89836496
17.177242,-17.628363,0.48656544
-18.342648,6.159788,0.48656544
35.774364,4.0912843,-1.0108874
-36.318993,-9.753928,0.11220226
5.226538,13.299111,0.29938385
-31.443516,-10.040724,0.48656544
-39.166985,-8.73576,-0.54293334
38.02447,14.324967,-0.44934255
-18.656414,6.889232,-0.63652414
-47.660824,-2.2986863,0.48656544
37.278294,11.85269,2.9199262
-11.613749,15.690204,0.48656544
31.544847,-6.86691,0.95451945
36.596115,6.796802,0.29938385
-30.822458,-9.6347065,-0.63652414
38.206413,15.284352,0.76733786
-38.672314,-9.534167,0.67374706
-19.062683,4.8486605,0.39297464
-22.330378,-2.6538196,0.48656544
28.193787,-11.01396,0.48656544
-10.466449,17.805214,-1.2916597
38.62092,16.458391,1.9840182
1.0205392,15.404264,-0.54293334
-51.27998,2.512801,-2.4709039
35.71442,3.8309498,-0.16857015
-51.78112,2.5053735,-0.58036965
37.509857,11.18495,0.48656544
-5.503839,18.478603,-0.54293334
-12.369632,15.084587,-0.07497935
30.204908,-8.259705,0.86092865
-18.066694,7.4226317,0.11220226
-10.187531,16.23334,0.39297464
3.254805,12.784537,-0.54293334
-10.804825,15.905975,0.86092865
-51.254845,2.459738,-1.2916597
5.637179,-5.282075,0.76733786
27.524132,-12.712279,-1.0576828
28.257877,-12.034742,-1.3852506
28.567696,-10.578516,0.48656544
-47.117218,-2.5207148,0.29938385
4.4415,4.7730894,-1.0108874
4.132624,5.349531,-1.0108874
